Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,345.899994,345.899994,343.399994,343.980011,326.565125,200
2018-08-07,350.500000,352.850006,350.500000,352.850006,334.985992,100
2018-08-08,347.829987,348.549988,347.829987,348.000000,330.381561,100
2018-08-09,350.000000,351.750000,349.250000,351.000000,333.229675,200
2018-08-10,339.950012,339.950012,335.750000,337.000000,319.938446,900
2018-08-13,336.750000,339.500000,336.750000,337.570007,320.479584,4700
2018-08-14,339.609985,342.149994,339.609985,342.149994,324.827728,400
2018-08-15,333.049988,333.049988,328.049988,332.010010,315.201080,1900
2018-08-16,335.299988,340.700012,335.299988,338.000000,320.887848,1700
2018-08-17,335.549988,341.399994,335.549988,339.000000,321.837219,300
2018-08-20,341.600006,343.549988,341.000000,343.190002,325.815094,400
2018-08-21,346.049988,346.359985,344.299988,344.299988,326.868896,200
2018-08-22,348.049988,349.179993,346.489990,348.510010,330.865723,400
2018-08-23,348.000000,348.000000,345.609985,347.709991,330.106232,3700
2018-08-24,347.000000,349.500000,347.000000,348.899994,331.236023,100
2018-08-27,350.649994,354.220001,350.649994,354.209991,336.277161,300
2018-08-28,362.799988,363.500000,360.579987,362.500000,344.147491,1500
2018-08-29,361.950012,362.600006,360.399994,360.500000,342.248718,500
2018-08-30,362.839996,362.839996,360.500000,361.440002,343.141144,800
2018-08-31,350.299988,354.000000,348.799988,350.500000,332.755035,300
2018-09-04,338.380005,339.130005,336.549988,338.149994,321.030212,2600
2018-09-05,328.750000,330.549988,326.649994,328.250000,311.631500,8300
2018-09-06,330.000000,330.000000,326.000000,326.000000,309.495361,300
2018-09-07,326.000000,329.049988,325.119995,329.049988,312.390991,200
2018-09-10,330.000000,331.950012,329.250000,329.250000,312.580841,100
2018-09-11,327.250000,330.450012,327.250000,329.929993,313.226379,500
2018-09-12,336.100006,338.279999,335.850006,337.000000,319.938446,4000
2018-09-13,342.750000,342.750000,338.619995,339.529999,322.340393,100
2018-09-14,342.190002,342.850006,339.000000,342.850006,325.492279,600
2018-09-17,340.000000,340.000000,335.239990,337.750000,320.650513,300
2018-09-18,334.500000,337.500000,334.500000,337.500000,320.413177,200
2018-09-19,337.500000,340.049988,337.500000,340.000000,322.786591,100
2018-09-20,345.260010,350.510010,345.260010,350.510010,332.764526,300
2018-09-21,357.149994,359.149994,354.200012,359.149994,340.967041,400
2018-09-24,357.149994,360.450012,357.149994,358.609985,340.454376,100
2018-09-25,358.769989,358.769989,356.369995,356.369995,338.327759,500
2018-09-26,359.350006,360.649994,357.059998,359.420013,341.223419,400
2018-09-27,355.649994,359.600006,355.649994,357.100006,339.020874,300
2018-09-28,355.440002,355.440002,352.250000,352.250000,334.416382,300
2018-10-01,354.649994,356.760010,354.500000,355.950012,337.929108,200
2018-10-02,347.350006,348.769989,346.799988,346.799988,329.242340,700
2018-10-03,349.450012,349.850006,347.690002,347.950012,330.334106,200
2018-10-04,334.279999,334.279999,329.839996,332.049988,315.239075,600
2018-10-05,329.299988,330.320007,327.549988,329.109985,312.447906,700
2018-10-08,323.750000,325.000000,322.250000,322.260010,305.944763,500
2018-10-09,322.250000,334.769989,322.250000,334.769989,317.821381,500
2018-10-10,307.279999,307.529999,301.570007,302.250000,286.947815,6300
2018-10-11,306.019989,306.559998,300.540009,300.540009,285.324371,500
2018-10-12,307.100006,307.100006,301.600006,305.600006,290.128204,1300
2018-10-15,302.049988,302.799988,300.929993,300.929993,285.694611,2100
2018-10-16,303.600006,307.850006,303.600006,307.109985,291.561737,1400
2018-10-17,305.000000,306.649994,302.329987,306.100006,290.602844,400
2018-10-18,302.799988,302.799988,296.000000,298.829987,283.700928,1300
2018-10-19,303.250000,305.260010,302.200012,304.799988,289.368683,500
2018-10-22,303.450012,305.600006,300.750000,304.040009,288.647186,1200
2018-10-23,295.350006,301.850006,295.350006,301.850006,286.568024,3500
2018-10-24,302.450012,302.450012,291.079987,291.079987,276.343292,800
2018-10-25,301.190002,303.519989,300.049988,302.750000,287.422455,200
2018-10-26,298.549988,302.089996,296.980011,297.339996,282.286346,600
2018-10-29,301.200012,301.619995,293.279999,293.279999,278.431915,300
2018-10-30,293.190002,295.700012,292.809998,292.850006,278.023682,400
2018-10-31,304.399994,305.899994,302.859985,302.859985,287.526855,45800
2018-11-01,303.700012,308.079987,303.700012,308.079987,292.482605,100
2018-11-02,317.000000,318.720001,315.510010,316.109985,300.106049,300
2018-11-05,313.850006,318.489990,313.850006,316.059998,300.058624,500
2018-11-06,315.000000,315.000000,310.549988,312.920013,297.077637,400
2018-11-07,318.649994,318.649994,314.350006,315.500000,299.527008,800
2018-11-08,308.899994,310.100006,307.500000,307.500000,291.931976,1000
2018-11-09,302.899994,303.200012,300.000000,300.000000,284.811707,500
2018-11-12,298.500000,298.500000,294.299988,295.709991,280.738861,700
2018-11-13,301.489990,305.899994,299.500000,300.769989,285.542694,200
2018-11-14,306.850006,306.850006,302.000000,303.500000,288.134521,200
2018-11-15,299.459991,304.000000,296.790009,304.000000,288.609192,1100
2018-11-16,301.649994,303.809998,299.700012,303.809998,288.428802,200
2018-11-19,300.850006,300.850006,294.910004,294.910004,279.979370,100
2018-11-20,287.450012,290.640015,286.609985,289.549988,274.890778,1900
2018-11-21,294.000000,298.100006,294.000000,295.989990,281.004730,1400
2018-11-23,291.399994,293.700012,290.250000,290.899994,276.172424,100
2018-11-26,291.700012,292.149994,290.390015,292.149994,277.359131,200
2018-11-27,288.690002,288.690002,285.390015,286.799988,272.279999,100
2018-11-28,290.000000,295.839996,288.739990,294.679993,279.761047,400
2018-11-29,293.200012,296.250000,290.250000,290.500000,275.792664,2000
2018-11-30,285.000000,287.549988,284.500000,287.549988,272.992004,400
